point_cloud,n_pts,dim,filtration,tau_q,tau
xavier_unit_norm,50,5,dtm,0.95,0.7040471709627396
xavier_unit_norm,50,10,vr,0.95,0.9812075865903119
xavier_unit_norm,50,10,dtm,0.95,0.9005037855350301
xavier_unit_norm,50,20,vr,0.95,1.1154174733324533
xavier_unit_norm,50,20,dtm,0.95,1.0491374714077286
xavier_unit_norm,100,5,vr,0.95,0.6608726975519467
xavier_unit_norm,100,5,dtm,0.95,0.5954640584424082
xavier_unit_norm,100,10,vr,0.95,0.8847331602330191
xavier_unit_norm,100,10,dtm,0.95,0.8117722474269475
xavier_unit_norm,100,20,vr,0.95,1.0414027070388725
xavier_unit_norm,100,20,dtm,0.95,0.9831616689703858
layer_mix_sigmas_0.5_1.0_1.5,10,5,vr,0.95,1.5941940355496096
layer_mix_sigmas_0.5_1.0_1.5,10,5,dtm,0.95,0.9713019908976002
layer_mix_sigmas_0.5_1.0_1.5,10,10,vr,0.95,1.7001799228537111
layer_mix_sigmas_0.5_1.0_1.5,10,10,dtm,0.95,1.0880681792302376
layer_mix_sigmas_0.5_1.0_1.5,10,20,vr,0.95,1.7072722584190423
layer_mix_sigmas_0.5_1.0_1.5,10,20,dtm,0.95,1.1123995804629492
layer_mix_sigmas_0.5_1.0_1.5,50,5,vr,0.95,1.2018518453831224
layer_mix_sigmas_0.5_1.0_1.5,50,5,dtm,0.95,0.5757223249359085
layer_mix_sigmas_0.5_1.0_1.5,50,10,vr,0.95,1.4014485048770855
layer_mix_sigmas_0.5_1.0_1.5,50,10,dtm,0.95,0.6332903433109479
layer_mix_sigmas_0.5_1.0_1.5,50,20,vr,0.95,1.5317013639881223
layer_mix_sigmas_0.5_1.0_1.5,50,20,dtm,0.95,0.6466904508223433
layer_mix_sigmas_0.5_1.0_1.5,100,5,vr,0.95,1.0411681332317082
layer_mix_sigmas_0.5_1.0_1.5,100,5,dtm,0.95,0.5432343341764876
layer_mix_sigmas_0.5_1.0_1.5,100,10,vr,0.95,1.3132644228882007
layer_mix_sigmas_0.5_1.0_1.5,100,10,dtm,0.95,0.5915939677325323
layer_mix_sigmas_0.5_1.0_1.5,100,20,vr,0.95,1.47395363012484
